date,vaccinated_pop,State,Dose,Total_pop,Percentage Vaccinated,Day
3/03/2021,1598,PERLIS,1,187756,0.851104625,1
3/04/2021,1896,PERLIS,1,1595396,1.009821257,2
3/05/2021,2223,PERLIS,1,1385097,1.183983468,3
3/06/2021,2223,PERLIS,1,1932525,1.183983468,4
3/07/2021,2223,PERLIS,1,4838547,1.183983468,5
3/08/2021,3062,PERLIS,1,1481138,1.630840026,6
3/09/2021,4158,PERLIS,1,56913,2.214576365,7
3/10/2021,5241,PERLIS,1,850890,2.791388824,8
3/11/2021,6006,PERLIS,1,701711,3.198832527,9
3/12/2021,6591,PERLIS,1,1237273,3.510407124,10
03/13/2021,6807,PERLIS,1,841837,3.625450052,11
03/14/2021,6807,PERLIS,1,1235357,3.625450052,12
03/15/2021,7276,PERLIS,1,2839652,3.875242336,13
03/16/2021,8038,PERLIS,1,2921000,4.281088221,14
03/17/2021,8795,PERLIS,1,72272,4.684271075,15
03/18/2021,9519,PERLIS,1,2072490,5.069877927,16
03/19/2021,9526,PERLIS,1,,5.07360617,17
03/20/2021,9526,PERLIS,1,,5.07360617,18
03/21/2021,9526,PERLIS,1,,5.07360617,19
03/22/2021,9526,PERLIS,1,,5.07360617,20
03/23/2021,9526,PERLIS,1,,5.07360617,21
03/24/2021,9530,PERLIS,1,,5.075736594,22
03/25/2021,9533,PERLIS,1,,5.077334413,23
03/26/2021,9533,PERLIS,1,,5.077334413,24
03/27/2021,9533,PERLIS,1,,5.077334413,25
03/28/2021,9533,PERLIS,1,,5.077334413,26
03/29/2021,9581,PERLIS,1,,5.102899508,27
03/30/2021,9592,PERLIS,1,,5.108758176,28
03/31/2021,9840,PERLIS,1,,5.2408445,29
4/01/2021,9846,PERLIS,1,,5.244040137,30
4/02/2021,9855,PERLIS,1,,5.248833593,31
4/03/2021,9858,PERLIS,1,,5.250431411,32
4/04/2021,9858,PERLIS,1,,5.250431411,33
4/05/2021,9863,PERLIS,1,,5.253094442,34
4/06/2021,10001,PERLIS,1,,5.32659409,35
4/07/2021,10001,PERLIS,1,,5.32659409,36
4/08/2021,10001,PERLIS,1,,5.32659409,37
4/09/2021,10016,PERLIS,1,,5.334583182,38
3/03/2021,0,PERLIS,2,,0,1
3/04/2021,0,PERLIS,2,,0,2
3/05/2021,0,PERLIS,2,,0,3
3/06/2021,0,PERLIS,2,,0,4
3/07/2021,0,PERLIS,2,,0,5
3/08/2021,0,PERLIS,2,,0,6
3/09/2021,0,PERLIS,2,,0,7
3/10/2021,0,PERLIS,2,,0,8
3/11/2021,0,PERLIS,2,,0,9
3/12/2021,0,PERLIS,2,,0,10
03/13/2021,0,PERLIS,2,,0,11
03/14/2021,0,PERLIS,2,,0,12
03/15/2021,0,PERLIS,2,,0,13
03/16/2021,0,PERLIS,2,,0,14
03/17/2021,0,PERLIS,2,,0,15
03/18/2021,1,PERLIS,2,,0.000532606,16
03/19/2021,154,PERLIS,2,,0.082021347,17
03/20/2021,156,PERLIS,2,,0.083086559,18
03/21/2021,156,PERLIS,2,,0.083086559,19
03/22/2021,504,PERLIS,2,,0.268433499,20
03/23/2021,1037,PERLIS,2,,0.552312576,21
03/24/2021,1561,PERLIS,2,,0.831398198,22
03/25/2021,1853,PERLIS,2,,0.986919193,23
03/26/2021,2157,PERLIS,2,,1.148831462,24
03/27/2021,2157,PERLIS,2,,1.148831462,25
03/28/2021,2157,PERLIS,2,,1.148831462,26
03/29/2021,2978,PERLIS,2,,1.58610111,27
03/30/2021,4035,PERLIS,2,,2.149065809,28
03/31/2021,4465,PERLIS,2,,2.378086453,29
4/01/2021,5610,PERLIS,2,,2.987920493,30
4/02/2021,6455,PERLIS,2,,3.437972688,31
4/03/2021,6668,PERLIS,2,,3.551417798,32
4/04/2021,6668,PERLIS,2,,3.551417798,33
4/05/2021,6820,PERLIS,2,,3.632373932,34
4/06/2021,6854,PERLIS,2,,3.650482541,35
4/07/2021,6884,PERLIS,2,,3.666460726,36
4/08/2021,6920,PERLIS,2,,3.685634547,37
4/09/2021,8026,PERLIS,2,,4.274696947,38
3/03/2021,4388,KEDAH,1,,0.275041432,1
3/04/2021,5171,KEDAH,1,,0.324120156,2
